 'Niki',; 'Micky',; 'Kirby',;;;;;;
 'Nikki',; 'Perry',; 'Kit',;;;;;;
 'Page',; 'Phil',; 'Kris',;;;;;;
 'Paige',; 'Pooh',; 'Lane',;;;;;;
 'Patrice',; 'Quentin',; 'Lanny',;;;;;;
 'Patsy',; 'Randy',; 'Lee',;;;;;;
 'Pattie',; 'Ray',; 'Leigh',;;;;;;
 'Patty',; 'Ricky',; 'Lesley',;;;;;;
 'Pennie',; 'Robbie',; 'Leslie',;;;;;;
 'Penny',; 'Ronny',; 'Lin',;;;;;;
 'Randi',; 'Sean',; 'Lind',;;;;;;
 'Randie',; 'Shane',; 'Lonnie',;;;;;;
 'Rory',; 'Shaun',; 'Loren',;;;;;;
 'Ruby',; 'Shawn',; 'Lorne',;;;;;;
 'Saundra',; 'Sonny',; 'Lou',;;;;;;
 'Sayre',; 'Tate',; 'Mattie',;;;;;;
 'Shaine',; 'Ted',; 'Matty',;;;;;;
 'Shannon',; 'Teddie',; 'Maurise',;;;;;;
 'Shelby',; 'Teddy',; 'Max',;;;;;;
 'Shelley',; 'Terry',; 'Maxie',;;;;;;
 'Sibyl',; 'Theo',; 'Mead',;;;;;;
 'Stacy',; 'Tim',; 'Meade',;;;;;;
 'Sunny',; 'Timmie',; 'Mel',;;;;;;
 'Sydney',; 'Timmy',; 'Merle',;;;;;;
 'Tabbie',; 'Tobe',; 'Merrill',;;;;;;
 'Tabby',; 'Tobie',; 'Merry',;;;;;;
 'Tallie',; 'Toby',; 'Michel',;;;;;;
 'Tally',; 'Tommie',; 'Michele',;;;;;;
 'Tammie',; 'Tommy',; 'Morgan',;;;;;;
 'Tammy',; 'Tony',; 'Morlee',;;;;;;
 'Terri',; 'Van',; 'Muffin',;;;;;;
 'Trace',; 'Vin',; 'Nat',;;;;;;
 'Tracey',; 'Vinny',; 'Noel',;;;;;;
 'Tracie',; 'Wallie',; 'Ollie',;;;;;;
 'Tracy',; 'Wallis',; 'Pat',;;;;;;
 'Vinnie',; 'Wally',; 'Pen',;;;;;;
 'Whitney',; 'Willi',; 'Quinn',;;;;;;
;;;;;;; 'Willie',; 'Regan',
;;;;;;; 'Willy',; 'Reggie',
;;;;;;;; 'Rene',
;;;;;;;; 'Rey',
;;;;;;;; 'Ricki',
;;;;;;;; 'Rickie',
;;;;;;;; 'Rikki',
;;;;;;;; 'Robin',
;;;;;;;; 'Ronnie',
;;;;;;;; 'Sal',
;;;;;;;; 'Sam',
;;;;;;;; 'Sammy',
;;;;;;;; 'Sandy',
;;;;;;;; 'Sascha',
;;;;;;;; 'Sasha',
;;;;;;;; 'Scotty',
;;;;;;;; 'Shay',
;;;;;;;; 'Shayne',
;;;;;;;; 'Shea',
;;;;;;;; 'Shell',
;;;;;;;; 'Simone',
;;;;;;;; 'Sonnie',
;;;;;;;; 'Torey',
;;;;;;;; 'Val',
;;;;;;;; 'Vale',
;;;;;;;; 'Valentine',
;;;;;;;; 'Virgie',
;;;;;;;; 'Winnie',
;;;;;;;; 'Winny',
;;;;;;;; 'Wynn'
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;

